"id","province_id","governorate_name_ar","governorate_name_en"
"1","1","القاهرة","Cairo"
"2","1","الجيزة","Giza"
"3","2","الأسكندرية","Alexandria"
"4","3","الدقهلية","Dakahlia"
"5","6","البحر الأحمر","Red Sea"
"6","2","البحيرة","Beheira"
"7","5","الفيوم","Fayoum"
"8","3","الغربية","Gharbiya"
"9","4","الإسماعلية","Ismailia"
"10","3","المنوفية","Menofia"
"11","5","المنيا","Minya"
"12","1","القليوبية","Qaliubiya"
"13","6","الوادي الجديد","New Valley"
"14","4","السويس","Suez"
"15","7","اسوان","Aswan"
"16","6","اسيوط","Assiut"
"17","5","بني سويف","Beni Suef"
"18","4","بورسعيد","Port Said"
"19","3","دمياط","Damietta"
"20","4","الشرقية","Sharkia"
"21","4","جنوب سيناء","South Sinai"
"22","3","كفر الشيخ","Kafr Al sheikh"
"23","2","مطروح","Matrouh"
"24","7","الأقصر","Luxor"
"25","7","قنا","Qena"
"26","4","شمال سيناء","North Sinai"
"27","7","سوهاج","Sohag"
